epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,748.738,1.44777,1.45302,1.70537,0.73634,0.60509,0.69238,0.4363,1.36423,1.3099,1.63786,0.000661333,0.000661333,0.000661333
2,1387.49,1.50322,1.4825,1.73735,0.71098,0.56187,0.64758,0.37665,1.4591,1.4691,1.7221,0.00128418,0.00128418,0.00128418
3,1972.2,1.52464,1.55319,1.77238,0.7245,0.57458,0.64976,0.3778,1.46599,1.65035,1.74406,0.00186302,0.00186302,0.00186302
4,2563.32,1.53234,1.55259,1.76927,0.72468,0.58493,0.66802,0.40435,1.44456,1.46102,1.71674,0.001802,0.001802,0.001802
5,3154.92,1.50862,1.51352,1.74234,0.70131,0.59132,0.66435,0.38111,1.44211,1.40746,1.67487,0.001736,0.001736,0.001736
6,3762.91,1.47633,1.464,1.72095,0.77244,0.5726,0.68294,0.41514,1.39852,1.35162,1.67104,0.00167,0.00167,0.00167
7,4361.63,1.46894,1.45003,1.71395,0.75769,0.60397,0.70872,0.43023,1.40693,1.34424,1.66156,0.001604,0.001604,0.001604
8,4950.22,1.44617,1.44016,1.69821,0.7597,0.60959,0.70506,0.43216,1.40059,1.28636,1.6584,0.001538,0.001538,0.001538
9,5533.18,1.4282,1.41075,1.67274,0.76027,0.63858,0.73403,0.4655,1.31249,1.22786,1.59206,0.001472,0.001472,0.001472
10,6122.75,1.41475,1.36733,1.65371,0.78241,0.61484,0.72371,0.4715,1.29239,1.1933,1.56714,0.001406,0.001406,0.001406
11,6713.37,1.40514,1.36356,1.64669,0.78112,0.63676,0.73748,0.46246,1.32017,1.22563,1.57561,0.00134,0.00134,0.00134
12,7301.63,1.36583,1.32871,1.62022,0.7983,0.63978,0.74992,0.48732,1.25551,1.15066,1.52518,0.001274,0.001274,0.001274
13,7891.22,1.3808,1.32725,1.62004,0.78954,0.63721,0.74045,0.47081,1.29492,1.19507,1.55071,0.001208,0.001208,0.001208
14,8479.09,1.3412,1.28693,1.59682,0.75926,0.63149,0.72521,0.46701,1.31796,1.18422,1.58477,0.001142,0.001142,0.001142
15,9062.49,1.33986,1.30785,1.61356,0.77959,0.65068,0.74675,0.47779,1.27325,1.18961,1.53304,0.001076,0.001076,0.001076
16,9648.53,1.30782,1.25378,1.5694,0.81104,0.65251,0.75615,0.49706,1.23505,1.0925,1.50487,0.00101,0.00101,0.00101
17,10231.3,1.30365,1.24885,1.57733,0.79054,0.66868,0.7636,0.50759,1.2063,1.14213,1.48047,0.000944,0.000944,0.000944
18,10821.4,1.30598,1.23267,1.57129,0.79836,0.67797,0.77628,0.52553,1.1751,1.046,1.46255,0.000878,0.000878,0.000878
19,11410.7,1.278,1.19306,1.54141,0.82845,0.68128,0.78762,0.53383,1.1594,1.0392,1.44788,0.000812,0.000812,0.000812
20,12002.3,1.27725,1.2126,1.55506,0.8345,0.68039,0.79274,0.5312,1.16621,1.03975,1.43772,0.000746,0.000746,0.000746
21,12591,1.18812,1.08364,1.47581,0.82086,0.67478,0.77619,0.52942,1.14952,1.04156,1.43713,0.00068,0.00068,0.00068
22,13177.2,1.18778,1.0469,1.46653,0.83895,0.70753,0.80547,0.55023,1.13369,0.97706,1.4032,0.000614,0.000614,0.000614
23,13798.7,1.16775,1.02771,1.45026,0.81046,0.71872,0.80909,0.56369,1.09216,0.97345,1.38287,0.000548,0.000548,0.000548
24,14412.8,1.1337,1.00033,1.43822,0.82401,0.73105,0.82081,0.56855,1.09523,0.92249,1.38037,0.000482,0.000482,0.000482
25,15017.5,1.12516,0.98877,1.43263,0.84502,0.72306,0.82759,0.57925,1.07311,0.91183,1.36274,0.000416,0.000416,0.000416
26,15626.7,1.10201,0.9573,1.40286,0.82783,0.7363,0.82495,0.5833,1.05656,0.89029,1.34861,0.00035,0.00035,0.00035
27,16232.3,1.1004,0.95091,1.40768,0.83958,0.73881,0.83688,0.59113,1.03569,0.87927,1.33135,0.000284,0.000284,0.000284
28,16840.5,1.09141,0.95115,1.39197,0.85104,0.7379,0.838,0.59513,1.03001,0.86995,1.3229,0.000218,0.000218,0.000218
29,17453,1.09369,0.92916,1.39758,0.85292,0.74224,0.83971,0.60583,1.00308,0.84779,1.30802,0.000152,0.000152,0.000152
30,18064.7,1.0753,0.9121,1.38156,0.84599,0.75297,0.8459,0.60983,0.99713,0.83821,1.30197,8.6e-05,8.6e-05,8.6e-05
